year,month,day,creator,cityFrom,coordinatesFrom,regionFrom,countryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,destination,flags,language,peopleMentioned
1656,4,7,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,Latin,"Hartlib, Samuel ~ Medniansky, János (fl. 1654-64) ~ Kometka (fl.1656) ~ Karl X Gustav, King of Sweden"
1656,6,24,"CCCCCC",Szczecin,"53.42894, 14.55302",Pomeranian Voivodeship,Poland,"Rülz, Johann",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Hartlib, Samuel ~ Figulus, Petr ~ Schaum, Constantine ~ Karl X Gustav, King of Sweden ~ Podivín, Václav (fl.1656-58) ~ Vojt, Samuel ~ Elzevier, Lowijs III"
1657,3,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ulrich, Johann Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,,Destination INFERRED.,Latin,"Redinger, Johannes Jacob"
1657,7,9,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Ulrich, Johann Jacob",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,,Destination INFERRED.,Latin,"Redinger, Johannes Jacob"
1657,7,19,"CCCCCC",Diez,"50.36667, 8.01667",Rhineland-Palatinate,(Lower Rhenish-Westphalian Imperial Circle) Germany,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,German,
1657,2,5,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin INFERRED. Origin UNCERTAIN. ~ Destination INFERRED.,Latin,"Dury, John ~ Arnold, Nicholas"
1657,7,18,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Hübner, Joachim ~ Cromwell, Oliver (Colonel) ~ Dury, John ~ Rákóczi, György II"
1657,8,27,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,"Date of work UNCERTAIN. Date of work APPROXIMATE. (Date of work as marked: 1657 8 27, [after?]) ~ Destination INFERRED.",Latin,
1657,9,7,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,"German, Latin","Hesenthaler, Magnus ~ Figulus, Petr ~ Schaum, Constantine ~ Karl X Gustav, King of Sweden"
1657,9,21,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Busch, Ian Iason van (fl. 1657) ~ Wittewrongel, Pieter van (fl. 1657)"
1657,10,16,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Rülz, Johann ~ Hübner, Joachim ~ de Geer, Laurentius ~ Hesenthaler, Magnus ~ Schaum, Constantine ~ Medniansky, János (fl. 1654-64)"
1657,11,30,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Hübner, Joachim ~ Drabík, Mikuláš ~ Kotter, Christoph ~ Hesenthaler, Magnus ~ Karl X Gustav, King of Sweden"
1657,12,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,"German, Latin","Hübner, Joachim ~ Beale, John ~ Hesenthaler, Magnus ~ Jung, Joachim ~ de Geer, Laurentius ~ Kotter, Christoph ~ Cyrillus, Paul (fl. 1642-58) ~ Hartmann, Paul"
1657,12,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Author/sender INFERRED. ~ Addressee INFERRED. ~ Destination INFERRED. Destination UNCERTAIN.,English,"Dury, John ~ Lilly, William"
1657,12,28,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,"German, Latin","Drabík, Mikuláš ~ Hartmann, Adam Samuel ~ Rülz, Johann ~ de Geer, Laurentius ~ Thou, Jacques Auguste de ~Louis XIV, King of France ~ Friedrich Wilhelm I ~ Rákóczi, György II ~ Johann Georg II, Prince Elector of Saxony ~ Figulus, Petr ~ Dury, John ~ Beale, John ~ Barbette, Paul ~ Horn, Georg ~ Schaum, Constantine ~Kettler, Jacob ~ Zesen, Philipp von ~ Leopold I ~ Karl X Gustav, King of Sweden ~ Goodwin, Thomas ~ Pell, John"
1657,2,28,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Martin",Silesia,"51.0, 18.0",Poland,,,Destination INFERRED.,"German, Latin, Polish (postscriptum)","Felín, Jan ~ de Geer, Laurentius ~ Bythner, Johannes ~ Rülz, Johann ~ Twardowski, Samuel"
1657,1,25,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Harsdörffer, Georg Philip",Nuremberg,"49.44778, 11.06833",(Franconian Imperial Circle) Bavaria,Germany,,Destination INFERRED.,Latin,"Hesenthaler, Magnus ~ Endter, Michael ~ Dilherr, Johan Michael ~ Christof, Georgius (fl. 1657) ~ Horn, Cornelius (fl. 1657)"
1657,1,4,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Destination INFERRED.,Latin,"Rülz, Johann ~ Vechner, David ~ Dury, John"
1657,7,13,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Origin INFERRED.,Latin,"Rülz, Johann ~ Schaum, Constantine"
1657,7,20,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,"German, Latin","Rülz, Johann ~ Rákóczi, György II ~ Gardie, Magnus Gabriel de la ~ Dury, John ~ Schaum, Constantine ~ Cromwell, Oliver (Colonel) ~ Kopidlanský, Jan Teofil ~ Frederick III, King of Denmark and Norway ~ Karl X Gustav, King of Sweden ~ Königsmarck, Hans Christoff von ~ John IV, King of Portugal(titles/roles: King of Portugal and the Algarves) ~ Petraeus, Theodor ~ Paskovius, Johannes (fl. 1657-61), also known as: Paskovský; Paskovsky (titles/roles: Printer in Amsterdam) ~ Vindisch, Jan (fl. 1657-67)"
